cell_id,au,ag,peg,ctab,cit,pvp,ascorb,teos,uv_ratio_best1_p1_460.0_p2_540.0,uv_best1_r2,uv_ratio_best2_p1_660.0_p2_760.0,uv_best2_r2,saxs_logratio_best1_p1_0.486690_p2_0.750000,saxs_best1_r2,saxs_logratio_best2_p1_0.077096_p2_0.750000,saxs_best2_r2
2,3.368641777738425,0.0,2.8457967869037497,4.031889575653413,4.408914496109488,1.302387230308814,4.04237013328611,0.0,0.4943820224719073,0.7877281271914397,4.0,0.7230632305925594,0.5923063424652327,0.4398141289895877,-1.423681878382392,0.4295662979620286
5,5.034545856063012,0.0,3.58819935171668,2.90279270651704,0.4866987003616943,1.94630835806596,6.041455027275615,0.0,0.5384615384615385,0.7877281271914397,4.0,0.7230632305925594,0.2735589384479459,0.4398141289895877,-2.606306313678272,0.4295662979620286
7,7.997356978802426,0.0,0.756905501090088,0.4341926138779616,0.7091001167365283,0.5056164149300857,9.59682837456291,0.0,0.7991156032849038,0.7877281271914397,1.1935092317378395,0.7230632305925594,-0.0870386251681695,0.4398141289895877,-3.2256688976038213,0.4295662979620286
9,7.761730759241472,0.0,1.4615935302078955,0.5646366837326021,0.4766307236955143,0.4213313920327473,9.314076911089767,0.0,0.801083591331267,0.7877281271914397,1.47930314750602,0.7230632305925594,0.0509642389681707,0.4398141289895877,-2.820511686701219,0.4295662979620286
10,3.609143531966552,0.0,2.2883348235850964,1.3681122585302024,3.154056974808387,5.249380172749901,4.330972238359862,0.0,0.6356301392241988,0.7877281271914397,2.716157205239988,0.7230632305925594,0.4588755268546837,0.4398141289895877,-2.04152227678532,0.4295662979620286
11,4.223994231687128,0.0,2.052381562076201,1.28254546764191,3.19933736626076,4.172948294309447,5.0687930780245525,0.0,0.6267029972752058,0.7877281271914397,3.0,0.7230632305925594,0.2807446167690587,0.4398141289895877,-2.400006203814589,0.4295662979620286
12,6.996347000090635,0.0,0.1722004107519453,0.3446837040716849,1.6762162329632413,2.4149362520137307,8.395616400108763,0.0,0.7264687302590035,0.7877281271914397,2.0239263803680885,0.7230632305925594,-0.0576294092899891,0.4398141289895877,-3.542540525502501,0.4295662979620286
13,6.470931795395873,0.0,0.7818459756388904,1.985982127343946,1.939112250834196,1.0570096963120472,7.765118154475047,0.0,0.6927710843373506,0.7877281271914397,1.888888888888889,0.7230632305925594,-0.0483065927007894,0.4398141289895877,-4.0078206970009616,0.4295662979620286
14,4.752971666610295,0.0,1.0323921659807107,2.221614574579416,3.1750452275897008,3.114410365307525,5.703565999932353,0.0,0.653821857233103,0.7877281271914397,3.279907975460111,0.7230632305925594,0.3234846992075427,0.4398141289895877,-2.501535771318081,0.4295662979620286
15,5.975096996701593,0.0,2.3912640084715333,3.1859444126511187,1.1669477766727012,0.1106304094611441,7.170116396041911,0.0,0.6343077771649213,0.7877281271914397,3.5000000000000004,0.7230632305925594,0.2197821170722391,0.4398141289895877,-2.869037676909203,0.4295662979620286
16,6.126698641260909,0.0,1.686091152732492,0.1729587892215514,1.3338664216923677,3.3283466255795915,7.35203836951309,0.0,0.6666290252761969,0.7877281271914397,2.4956790123456063,0.7230632305925594,0.1406774888066738,0.4398141289895877,-3.1152915217363057,0.4295662979620286
24,5.533145822027311,0.0,3.17755136924933,1.4663774132244247,1.675020139973754,1.5081302690924063,6.639774986432774,0.0,0.5723314606741545,0.7877281271914397,3.039877300613481,0.7230632305925594,0.066893692133899,0.4398141289895877,-3.286533692296857,0.4295662979620286
26,5.296557397253899,0.0,1.5100431429683692,1.360613275256053,3.595623095475016,1.881294212341984,6.355868876704679,0.0,0.6561797752809019,0.7877281271914397,4.0,0.7230632305925594,0.1705316957941953,0.4398141289895877,-2.91595705502494,0.4295662979620286
27,6.830478328172656,0.0,1.714027578632943,0.8223304542637968,0.6606974595633893,1.7758921855600305,8.196573993807187,0.0,0.6666666666666667,0.7877281271914397,2.186605316973408,0.7230632305925594,-0.1695505767117709,0.4398141289895877,-4.021687907626545,0.4295662979620286
28,7.299467118307278,0.0,1.17957028469485,1.092287648504677,0.5026430884639478,1.1666713180605162,8.759360541968732,0.0,0.7058823529411764,0.7877281271914397,1.6666666666666667,0.7230632305925594,-0.2507746740136994,0.4398141289895877,-3.951360843902857,0.4295662979620286
29,8.270146773837826,0.0,0.1863390252165121,0.8603471062890914,0.0479359427681691,0.7110550232830091,9.92417612860539,0.0,0.7777777777777779,0.7877281271914397,1.023774689100237,0.7230632305925594,0.1799874413923151,0.4398141289895877,-2.7723733949497893,0.4295662979620286
